,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
78,,2022-10-4 10:09 pmOct 4,mattlnec,,,8 miles,677 ft
79,,2022-10-4 9:08 pmOct 4,tedsks,,,10 miles,814 ft
80,,2022-10-4 6:45 pmOct 4,Mpearce,,,14 miles,"1,012 ft"
81,,2022-10-4 2:41 pmOct 4,Fozz179fs,,,8 miles,615 ft
82,,2022-10-3 5:18 pmOct 3,Cerps,,AM,10 miles,659 ft
83,,2022-10-2 9:40 pmOct 2,tysimo,,,10 miles,853 ft
84,,2022-10-2 6:19 pmOct 2,E30-4ME,,,8 miles,776 ft
85,,2022-10-2 5:12 pmOct 2,tonyallen,,Trials,10 miles,868 ft
86,,2022-10-2 2:42 pmOct 2,linx0003,,,18 miles,"1,145 ft"
87,,2022-10-1 2:55 pmOct 1,XploringDave,,,18 miles,"1,528 ft"
88,,2022-10-1 2:34 pmOct 1,Jakeg7oXnp,,,11 miles,863 ft
89,,2022-10-1 2:19 pmOct 1,Slombard,,AM,10 miles,772 ft
90,,2022-10-1 12:02 pmOct 1,Daray,,,12 miles,"1,016 ft"
91,,2022-9-30 2:18 pmSep 30,Slombard,,AM,10 miles,778 ft
92,,2022-9-29 9:42 pmSep 29,Mpearce,,,14 miles,985 ft
93,,2022-9-29 3:58 pmSep 29,NKGriffith,,,9 miles,778 ft
94,,2022-9-28 10:28 pmSep 28,Blunde,,,18 miles,954 ft
95,,2022-9-27 3:38 pmSep 27,ccengland,,,10 miles,845 ft
96,,2022-9-27 1:26 pmSep 27,ThePhenom170,,,11 miles,813 ft
97,,2022-9-26 9:52 pmSep 26,mcgroskreutz,,XC,16 miles,"1,006 ft"
98,,2022-9-26 7:25 pmSep 26,Mnebiker,,AM,9 miles,817 ft
99,,2022-9-25 8:50 pmSep 25,jongregory,,,10 miles,623 ft
100,,2022-9-25 4:30 pmSep 25,mukkinaround,,XC,11 miles,832 ft
101,,2022-9-25 4:28 pmSep 25,Davemtbfanatic,,,20 miles,"1,614 ft"
102,,2022-9-25 4:26 pmSep 25,Senatorp,,,21 miles,"1,696 ft"
103,,2022-9-25 4:17 pmSep 25,RiverMonster37,,,9 miles,823 ft
104,,2022-9-25 3:58 pmSep 25,jdlmpls,,,11 miles,773 ft
105,,2022-9-25 3:49 pmSep 25,barnes2030,,,10 miles,851 ft
106,,2022-9-25 1:40 pmSep 25,Slombard,,AM,10 miles,770 ft
107,,2022-9-25 1:21 pmSep 25,wakeev90,,,7 miles,611 ft
108,,2022-9-24 9:11 pmSep 24,Driipinen,,,24 miles,"2,138 ft"
109,,2022-9-24 7:46 pmSep 24,Daray,,,3 miles,106 ft
110,,2022-9-24 7:02 pmSep 24,randomlad,,,17 miles,"1,435 ft"
111,,2022-9-24 5:56 pmSep 24,Wizardbongs,,,10 miles,656 ft
112,,2022-9-24 5:51 pmSep 24,XCDan109 RAMBO,,,10 miles,774 ft
113,,2022-9-24 5:04 pmSep 24,stokes72,,,10 miles,877 ft
114,,2022-9-23 10:28 pmSep 23,eakqL6,,,7 miles,598 ft
115,,2022-9-22 10:43 pmSep 22,Blunde,,,12 miles,544 ft
116,,2022-9-22 10:23 pmSep 22,bpsmpls,,,10 miles,782 ft
117,,2022-9-22 10:16 pmSep 22,ErikMoe01,,,8 miles,519 ft
118,,2022-9-22 10:01 pmSep 22,Scottymtb17,,,15 miles,"1,132 ft"
119,,2022-9-22 9:56 pmSep 22,MidwestMTBR,,,9 miles,804 ft
120,,2022-9-22 9:51 pmSep 22,Cman36,,,20 miles,"1,636 ft"
121,,2022-9-22 7:36 pmSep 22,Cory117,,,10 miles,918 ft
122,,2022-9-22 7:34 pmSep 22,jongregory,,,10 miles,618 ft
123,,2022-9-22 7:19 pmSep 22,moebius10,,,3 miles,220 ft
124,,2022-9-22 7:08 pmSep 22,Slombard,,AM,10 miles,782 ft
125,,2022-9-21 11:08 pmSep 21,Elliot-harrison,,AM,10 miles,870 ft
126,,2022-9-21 10:38 pmSep 21,ThePhenom170,,,11 miles,795 ft
127,,2022-9-21 10:12 pmSep 21,Jessev5kQnc,,,10 miles,912 ft
128,,2022-9-21 10:04 pmSep 21,lega0035,,,10 miles,824 ft
129,,2022-9-21 10:01 pmSep 21,Hudsora,,,11 miles,848 ft
130,,2022-9-21 9:33 pmSep 21,mcgroskreutz,,XC,23 miles,"1,651 ft"
131,,2022-9-21 5:47 pmSep 21,meithkiller,,,11 miles,851 ft
132,,2022-9-20 10:46 pmSep 20,teamslympls,,,10 miles,609 ft
133,,2022-9-20 10:46 pmSep 20,douglasallanmn,,,9 miles,829 ft
134,,2022-9-19 10:43 pmSep 19,brianshoemaker,,AM,9 miles,813 ft
135,,2022-9-19 10:24 pmSep 19,mattlnec,,,10 miles,824 ft
136,,2022-9-19 10:19 pmSep 19,clars100,,,10 miles,948 ft
137,,2022-9-19 9:04 pmSep 19,DavidetdWxL,,,9 miles,781 ft
138,,2022-9-19 6:38 pmSep 19,JCLikesBikes,,,14 miles,"1,030 ft"
139,,2022-9-19 11:18 amSep 19,mikewaskosky,,,9 miles,506 ft
140,,2022-9-18 9:58 pmSep 18,Scroggs79,,,9 miles,617 ft
141,,2022-9-18 9:15 pmSep 18,Maddogg2219,,,11 miles,891 ft
142,,2022-9-18 2:55 pmSep 18,linx0003,,,11 miles,647 ft
143,,2022-9-17 6:14 pmSep 17,ChristopherDOvxZw,,,10 miles,787 ft
144,,2022-9-17 2:23 pmSep 17,HMTB763,,,9 miles,933 ft
145,,2022-9-15 10:43 pmSep 15,delacr0ix,,Gravel,9 miles,738 ft
146,,2022-9-15 10:41 pmSep 15,Bikejunky1,,,15 miles,789 ft
147,,2022-9-15 10:39 pmSep 15,awood,,,9 miles,774 ft
148,,2022-9-15 10:38 pmSep 15,Paulhill725,,,16 miles,"1,219 ft"
149,,2022-9-15 10:37 pmSep 15,mnmtb LCA,,AM,7 miles,340 ft
150,,2022-9-15 10:32 pmSep 15,theruns,,Fat,13 miles,411 ft
151,,2022-9-15 6:02 pmSep 15,CdS3hH3B,,,4 miles,220 ft
152,,2022-9-15 1:18 pmSep 15,ThePhenom170,,,11 miles,805 ft
153,,2022-9-15 12:54 amSep 15,amattys,,,5 miles,339 ft
154,,2022-9-14 10:02 pmSep 14,cjammiller,,,10 miles,830 ft
155,,2022-9-14 9:59 pmSep 14,Hudsora,,,17 miles,"1,332 ft"
156,,2022-9-14 9:49 pmSep 14,meithkiller,,,11 miles,862 ft
157,,2022-9-14 9:23 pmSep 14,Joehight,,,10 miles,854 ft
158,,2022-9-14 6:22 pmSep 14,Slombard,,AM,10 miles,831 ft
159,,2022-9-14 4:57 pmSep 14,andrewfitz25,,,7 miles,440 ft
160,,2022-9-14 11:48 amSep 14,SavageCyclist,,,10 miles,618 ft
161,,2022-9-13 10:52 pmSep 13,Rytoast,,,18 miles,"1,590 ft"
162,,2022-9-13 12:08 amSep 13,mjc253,,,9 miles,779 ft
163,,2022-9-12 10:51 pmSep 12,seanstahl,,,9 miles,704 ft
164,,2022-9-12 10:51 pmSep 12,Zachmartens,,,5 miles,249 ft
165,,2022-9-12 10:48 pmSep 12,brianshoemaker,,AM,8 miles,639 ft
166,,2022-9-12 10:44 pmSep 12,douglasallanmn,,,9 miles,843 ft
167,,2022-9-12 10:39 pmSep 12,mattlnec,,,10 miles,869 ft
168,,2022-9-12 10:32 pmSep 12,jak612,,,10 miles,791 ft
169,,2022-9-11 6:32 pmSep 11,jasongerken,,AM,18 miles,"1,558 ft"
170,,2022-9-11 6:07 pmSep 11,stokes72,,,10 miles,856 ft
171,,2022-9-11 5:17 pmSep 11,tarynderosia,,,9 miles,885 ft
172,,2022-9-11 2:14 pmSep 11,ccengland,,,10 miles,312 ft
173,,2022-9-10 7:46 pmSep 10,95fire,,,12 miles,"1,015 ft"
174,,2022-9-10 7:35 pmSep 10,Miahbike,,,19 miles,"1,228 ft"
175,,2022-9-10 6:40 pmSep 10,Daray,,,13 miles,988 ft
176,,2022-9-9 5:25 pmSep 9,mcgroskreutz,,XC,14 miles,867 ft
177,,2022-9-8 11:43 pmSep 8,shakomoser55,,,10 miles,939 ft
178,,2022-9-8 11:16 pmSep 8,KendallWelch,,AM,11 miles,799 ft
179,,2022-9-8 11:09 pmSep 8,kmolland,,,10 miles,622 ft
180,,2022-9-8 11:07 pmSep 8,mukkinaround,,XC,11 miles,792 ft
181,,2022-9-8 10:37 pmSep 8,Paulhill725,,,14 miles,"1,048 ft"
