title,difficulty,region_title,distance,dst_climb,dst_descent,dst_flat,total_miles,descent_miles,ascent_miles,flat_miles
Blue to Trailhead,Blue,Lebanon Hills,341,253,0,89,0.06458335400000001,0.0,0.047916682,0.016856066
Connector,Green,Lebanon Hills,335,259,0,75,0.06344699000000001,0.0,0.049053046,0.014204550000000002
Easy Flow Loop,Green,Lebanon Hills,705,342,347,16,0.13352277,0.06571971800000001,0.064772748,0.003030304
Easy Slalom,Green,Lebanon Hills,375,26,253,32,0.07102275000000001,0.047916682,0.004924244,0.006060608
Intermediate,Blue,Lebanon Hills,"24,350","8,983","10,039","5,328",4.6117439000000005,1.9013263660000002,1.701326302,1.009091232
Last Climb,Black Diamond,Lebanon Hills,"2,629",783,"1,491",354,0.49791682600000003,0.282386454,0.148295502,0.067045476
Mamas Calling,Blue,Lebanon Hills,373,0,302,71,0.070643962,0.057196988000000004,0.0,0.013446974
Parking Access,Secondary Access Road/Trail,Lebanon Hills,689,256,0,384,0.130492466,0.0,0.048484864,0.072727296
Rocky Top,Black Diamond,Lebanon Hills,734,219,375,140,0.139015196,0.07102275000000001,0.041477286,0.026515160000000003
Skills Access Connector,Secondary Access Road/Trail,Lebanon Hills,105,0,0,0,0.01988637,0.0,0.0,0.0
Skinny Trail #1,Green,Lebanon Hills,190,0,0,0,0.03598486,0.0,0.0,0.0
Skinny Trail #2,Blue,Lebanon Hills,108,0,0,0,0.020454552,0.0,0.0,0.0
Skinny Trail #3,Blue,Lebanon Hills,95,0,0,0,0.01799243,0.0,0.0,0.0
Tedman's Curve,Double Black Diamond,Lebanon Hills,279,110,79,30,0.052840926,0.014962126000000001,0.020833340000000002,0.005681820000000001
Upper Beginner Loop,Green,Lebanon Hills,"5,772","2,578","2,515",680,1.093182168,0.47632591,0.488257732,0.12878792
Warmup Black,Black Diamond,Lebanon Hills,272,13,151,20,0.051515168,0.028598494000000002,0.002462122,0.0037878800000000004
Warmup Blue,Blue,Lebanon Hills,190,0,102,89,0.03598486,0.019318188,0.0,0.016856066
Warmup Green,Green,Lebanon Hills,617,43,213,318,0.116856098,0.040340922,0.008143942000000001,0.060227292
X Loop,Black Diamond,Lebanon Hills,"5,342","2,314","1,951","1,078",1.011742748,0.369507694,0.438257716,0.20416673200000002
XX Loop,Double Black Diamond,Lebanon Hills,"8,476","3,509","3,668","1,299",1.605303544,0.694697192,0.664583546,0.246022806
2022 Trail Addition,Blue,Murphy-Hanrehan Park,"1,499",344,138,850,0.28390160600000003,0.026136372,0.06515153600000001,0.16098490000000001
Easy Cutoff,Green,Murphy-Hanrehan Park,"1,234",213,312,669,0.233712196,0.059090928,0.040340922,0.126704586
Hard Loop,Blue,Murphy-Hanrehan Park,"29,902","10,030","11,168","8,704",5.663259388,2.115152192,1.8996218200000001,1.648485376
Hard Loop Ext,Blue,Murphy-Hanrehan Park,"2,751","1,165","1,087",498,0.521022894,0.20587127800000002,0.22064401,0.094318212
High Skinny,Double Black Diamond,Murphy-Hanrehan Park,291,209,29,28,0.055113654000000005,0.005492426,0.039583346000000005,0.005303032
Intermediate Exit,Blue,Murphy-Hanrehan Park,"3,376","1,936",787,653,0.639394144,0.149053078,0.366666784,0.12367428200000001
Intermediate to Hard,Blue,Murphy-Hanrehan Park,"6,729","2,224","2,717","1,785",1.274432226,0.514583498,0.421212256,0.33806829
Parking Access,Secondary Access Road/Trail,Murphy-Hanrehan Park,771,164,292,272,0.146022774,0.055303048,0.031060616000000003,0.051515168
Prairie to Exit,Green,Murphy-Hanrehan Park,"6,037","1,696","1,969","2,372",1.143371578,0.372916786,0.321212224,0.449242568
Sons of Spartacus,Double Black Diamond,Murphy-Hanrehan Park,338,139,151,48,0.06401517200000001,0.028598494000000002,0.026325766,0.009090912
Trailhead to Forest,Green,Murphy-Hanrehan Park,"1,309",371,394,545,0.24791674600000002,0.07462123600000001,0.070265174,0.10321973000000001
45 North,Blue,Theodore Wirth Park,"7,001","2,320","2,520","2,165",1.3259473940000002,0.47727288,0.43939408,0.41003801
Area 36,Blue,Theodore Wirth Park,"10,302","3,504","3,530","3,235",1.951136988,0.6685608200000001,0.663636576,0.61268959
Area 36 Access,Blue,Theodore Wirth Park,98,33,0,0,0.018560612,0.0,0.006250002,0.0
Big Berm Bypass,Green,Theodore Wirth Park,162,15,147,0,0.030681828,0.027840918000000003,0.0028409100000000003,0.0
Brownie Lake,Blue,Theodore Wirth Park,"4,154","1,355","1,844",956,0.786742676,0.349242536,0.25662887,0.181060664
Conundrum,Green,Theodore Wirth Park,"2,385",545,407,"1,430",0.45170469,0.077083358,0.10321973000000001,0.27083342
CONUNDRUM,Blue,Theodore Wirth Park,"2,785","1,286","1,109",377,0.52746229,0.210037946,0.243560684,0.071401538
Glenwood Loop,Blue,Theodore Wirth Park,"3,819","1,604","1,559",656,0.723295686,0.29526524600000004,0.303787976,0.12424246400000001
Greenwood Connector,Blue,Theodore Wirth Park,49,25,0,24,0.009280306,0.0,0.0047348500000000005,0.004545456
Parking Access,Access Trail or Doubletrack,Theodore Wirth Park,486,0,79,374,0.09204548400000001,0.014962126000000001,0.0,0.070833356
Parking Access,Access Trail or Doubletrack,Theodore Wirth Park,784,305,194,282,0.148484896,0.036742436,0.057765170000000005,0.053409108000000004
Parking Access 2,Access Trail or Doubletrack,Theodore Wirth Park,125,0,33,0,0.02367425,0.006250002,0.0,0.0
Skyline/Dingo Access,Blue,Theodore Wirth Park,394,0,0,0,0.07462123600000001,0.0,0.0,0.0
Skyline/Dingo Access,Blue,Theodore Wirth Park,156,156,0,0,0.029545464,0.0,0.029545464,0.0
Skyline/Dingo Access,Green,Theodore Wirth Park,137,0,99,38,0.025946978000000002,0.018750006,0.0,0.007196972
South Loop,Green,Theodore Wirth Park,"3,172",980,765,"1,427",0.600757768,0.14488641000000002,0.18560612,0.270265238
Spaghetti Berms Bypass,Green,Theodore Wirth Park,102,39,63,0,0.019318188,0.011931822,0.007386366,0.0
