trailid,title,aka,activitytype,difficulty,status,condition,region_title,rid,difficulty_system,trailtype,usage,direction,season,unsanctioned,hidden,rating,ridden,total_checkins,total_reports,total_photos,total_videos,faved,views,global_rank,created,land_manager,closed,wet_weather,distance,time,alt_change,alt_max,alt_climb,alt_descent,grade,dst_climb,dst_descent,dst_flat,alias,inventory_exclude,trail_association,sponsors,builders,maintainer","438687","45 North","","1","Blue","Significant Issue / Amber","Ideal","Theodore Wirth Park","9224","0","Singletrack","Biking Primary","One Direction","","0","0","5","348","2745","11","0","0","0","404","113359","2021-05-24 11:13am","","0","0","7,001","561","0","873","94","-93","0","2,320","2,520","2,165","https://www.trailforks.com/trails/45-north/","0","0","","","",
"32106","South Loop","","1","Green","All Clear / Green","Very Dry","Theodore Wirth Park","9224","0","Singletrack","Biking Primary","Both Directions","","0","0","3.8","711","5359","43","1","1","0","1521","11513","2015-07-08 2:13pm","","0","0","3,172","196","0","875","49","-49","0.01","980","765","1,427","https://www.trailforks.com/trails/south-loop-32106/","0","0","","","",
"143984","Spaghetti Berms Bypass","","1","Green","All Clear / Green","Ideal","Theodore Wirth Park","9224","0","Singletrack","Biking Primary","One Direction","","0","0","3","209","682","6","0","0","0","364","79673","2018-08-26 4:37pm","","0","0","102","33","-5","877","0","-6","-4.518","39","63","0","https://www.trailforks.com/trails/spaghetti-berms-bypass/","0","0","","","",
"32105","SW Loop","","1","Blue","All Clear / Green","Very Dry","Theodore Wirth Park","9224","0","Singletrack","Biking Primary","One Direction","","0","0","4.4","772","7491","47","6","3","0","2475","3541","2015-07-08 2:13pm","","0","0","8,363","670","0","922","165","-166","-0","3,228","3,694","1,437","https://www.trailforks.com/trails/sw-loop/","0","0","","","",
"32155","SW Loop Access","","1","Blue","All Clear / Green","Very Dry","Theodore Wirth Park","9224","0","Singletrack","Biking Primary","Downhill Primary","","0","0","4.65","632","8721","40","0","0","0","930","3572","2015-07-09 5:23pm","","0","0","450","24","55","942","55","0","12.134","258","0","192","https://www.trailforks.com/trails/sw-loop-access-32155/","0","0","","","",
"143956","The Quarry","","1","Blue","All Clear / Green","Dry","Theodore Wirth Park","9224","0","Singletrack","Biking Primary","One Direction","","0","0","4","437","2941","11","0","0","0","646","37116","2018-08-26 12:54pm","","0","0","1,894","167","-3","920","67","-70","-0.156","845","554","496","https://www.trailforks.com/trails/the-quarry-143956/","0","0","","","",
"143959","The Tube","","1","Black Diamond","All Clear / Green","Very Dry","Theodore Wirth Park","9224","0","Singletrack","Biking Primary","Both Directions","","0","0","5","706","10124","25","1","1","0","1327","2154","2018-08-26 12:56pm","","0","0","962","126","-26","897","26","-52","-2.661","241","582","139","https://www.trailforks.com/trails/the-tube-143959/","0","0","","","",
"143882","Theo North Expert","","1","Black Diamond","All Clear / Green","Dry","Theodore Wirth Park","9224","0","Singletrack","Biking Primary","Both Directions","","0","0","5","483","3930","13","4","0","0","860","4439","2018-08-26 11:24am","","0","0","1,115","150","0","887","37","-37","0","431","605","79","https://www.trailforks.com/trails/theo-north-expert/","0","0","","","",
"32107","Theo North Loop","","1","Blue","All Clear / Green","Very Dry","Theodore Wirth Park","9224","0","Singletrack","Biking Primary","Downhill Primary","","0","0","4.4","792","6414","60","14","2","2","3896","3743","2015-07-08 2:13pm","","0","0","11,742","905","0","900","191","-191","0.003","4,665","4,097","2,979","https://www.trailforks.com/trails/theo-north-loop/","0","0","","","",
"143880","Theo North Option","","1","Black Diamond","All Clear / Green","Ideal","Theodore Wirth Park","9224","0","Singletrack","Biking Primary","One Direction","","0","0","4","422","2231","11","3","0","0","635","38265","2018-08-26 11:21am","","0","0","324","66","-3","845","0","-2","-0.81","0","163","161","https://www.trailforks.com/trails/theo-north-option/","0","0","","","",
"58152","Wirth Parkway Bike Path","","1","Secondary Access Road/Trail","All Clear / Green","Ideal","Theodore Wirth Park","9224","0","Paved Path","Multi-use","Both Directions","","0","0","2","314","1220","5","0","0","0","624","0","2016-06-02 9:25am","","0","0","13,222","758","16","934","430","-414","0.125","6,581","5,516","1,125","https://www.trailforks.com/trails/wirth-parkway-bike-path/","0","0","","","",
