,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
74,,2022-9-27 10:28 pmSep 27,Gwg02210,,,7 miles,980 ft
75,,2022-9-27 3:17 pmSep 27,dereckF2IcjY,,,5 miles,475 ft
76,,2022-9-27 12:03 pmSep 27,Daray,,,8 miles,"1,054 ft"
77,,2022-9-26 8:34 pmSep 26,rubesmtb,,,33 miles,"2,491 ft"
78,,2022-9-26 7:22 pmSep 26,Sroehl,,,6 miles,904 ft
79,,2022-9-26 5:23 pmSep 26,Bjcreagh,,,18 miles,"2,708 ft"
80,,2022-9-25 8:39 pmSep 25,Briscoelab,,,10 miles,"1,354 ft"
81,,2022-9-25 7:35 pmSep 25,kmb88422,,,13 miles,"1,272 ft"
82,,2022-9-24 8:46 pmSep 24,niemeyerm,,,10 miles,"1,764 ft"
83,,2022-9-24 7:58 pmSep 24,barnes2030,,,3 miles,408 ft
84,,2022-9-24 6:07 pmSep 24,Senatorp,,,10 miles,"1,440 ft"
85,,2022-9-24 4:13 pmSep 24,gopher42,,,5 miles,518 ft
86,,2022-9-24 2:41 pmSep 24,paulwegner,,,8 miles,889 ft
87,,2022-9-24 2:37 pmSep 24 s,Jfotsch,,,13 miles,"2,112 ft"
88,,2022-9-24 2:30 pmSep 24,alfotsch,,,13 miles,"1,979 ft"
89,,2022-9-24 2:26 pmSep 24,voghan,,AM,9 miles,"1,483 ft"
90,,2022-9-22 10:53 pmSep 22,Krblaser,,,9 miles,"1,266 ft"
91,,2022-9-22 10:41 pmSep 22,LeisureSuitL,,,8 miles,"1,198 ft"
92,,2022-9-22 10:15 pmSep 22,Gwg02210,,,10 miles,"1,576 ft"
93,,2022-9-22 7:25 pmSep 22,JordoDoesIt,,,4 miles,583 ft
94,,2022-9-22 3:39 pmSep 22,mkrook,,,8 miles,"1,046 ft"
95,,2022-9-22 12:05 amSep 22 s,minnesotashred,,,5 miles,754 ft
96,,2022-9-21 11:08 pmSep 21,BlackVR,,,5 miles,763 ft
97,,2022-9-21 10:25 pmSep 21,Joehight,,,9 miles,"1,041 ft"
98,,2022-9-21 9:06 pmSep 21,mjspannbauer,,AM,32 miles,"1,094 ft"
99,,2022-9-21 3:00 pmSep 21,LstResponder,,,9 miles,"1,155 ft"
100,,2022-9-20 10:26 pmSep 20,uber419,,,11 miles,"1,403 ft"
101,,2022-9-20 6:11 pmSep 20,JFDI,,,3 miles,322 ft
102,,2022-9-19 10:22 pmSep 19,Gwg02210,,,7 miles,"1,040 ft"
103,,2022-9-19 5:39 pmSep 19,Bjcreagh,,,16 miles,"2,536 ft"
104,,2022-9-19 4:58 pmSep 19,Buttpunx,,,10 miles,"1,478 ft"
105,,2022-9-18 8:56 pmSep 18,ijp11,,,11 miles,"1,748 ft"
106,,2022-9-18 8:12 pmSep 18,smitod,,,10 miles,"1,567 ft"
107,,2022-9-18 4:39 pmSep 18,95fire,,,7 miles,999 ft
108,,2022-9-18 3:33 pmSep 18,Krblaser,,,9 miles,"1,376 ft"
109,,2022-9-18 2:15 pmSep 18,mkrook,,,9 miles,"1,133 ft"
110,,2022-9-18 12:23 amSep 18,drevlowa,,,24 miles,"1,490 ft"
111,,2022-9-17 7:26 pmSep 17,Goetsch,,AM,6 miles,911 ft
112,,2022-9-17 6:44 pmSep 17,Cardesignmind,,,10 miles,"1,771 ft"
113,,2022-9-17 6:22 pmSep 17,Ddbros,,,12 miles,"1,938 ft"
114,,2022-9-17 6:19 pmSep 17,clars100,,,9 miles,"1,272 ft"
115,,2022-9-17 5:41 pmSep 17,petergrasse,,Fat,30 miles,763 ft
116,,2022-9-17 5:12 pmSep 17 s,KendallWelch,,AM,9 miles,"1,257 ft"
117,,2022-9-17 4:38 pmSep 17,Mill0866,,,7 miles,801 ft
118,,2022-9-17 4:30 pmSep 17,1Surfer1,,,17 miles,"2,685 ft"
119,,2022-9-17 4:15 pmSep 17,smitod,,,4 miles,594 ft
120,,2022-9-17 3:33 pmSep 17,Er0breich,,,10 miles,"1,688 ft"
121,,2022-9-17 3:21 pmSep 17,ChristopheriQubte,,,17 miles,"2,429 ft"
122,,2022-9-17 1:59 pmSep 17 s,voghan,,AM,10 miles,"1,602 ft"
123,,2022-9-17 12:50 pmSep 17,drew-bear,,,6 miles,895 ft
124,,2022-9-16 5:52 pmSep 16,petergrasse,,Fat,35 miles,843 ft
125,,2022-9-16 11:56 amSep 16,Daray,,,9 miles,"1,306 ft"
126,,2022-9-15 11:26 pmSep 15,Hooten,,AM,10 miles,"1,504 ft"
127,,2022-9-15 10:46 pmSep 15,MaxHendrickson,,,9 miles,"1,460 ft"
128,,2022-9-15 10:18 pmSep 15,Smaich,,,6 miles,"1,069 ft"
129,,2022-9-15 10:04 pmSep 15,SNK922,,,8 miles,944 ft
130,,2022-9-14 9:47 pmSep 14,Scotthowe,,,13 miles,"1,884 ft"
131,,2022-9-14 1:12 pmSep 14,WAB,,,57 miles,"2,780 ft"
132,,2022-9-13 10:41 pmSep 13,Tboned29,,,9 miles,"1,133 ft"
133,,2022-9-13 10:39 pmSep 13,SandbarMTB,,,10 miles,"1,643 ft"
134,,2022-9-12 7:18 pmSep 12,petergrasse,,Fat,45 miles,"1,209 ft"
135,,2022-9-12 6:02 pmSep 12,Wizardbongs,,,7 miles,965 ft
136,,2022-9-12 3:11 pmSep 12 s,ChristopheriQubte,,,20 miles,"3,027 ft"
137,,2022-9-11 8:47 pmSep 11,Johris18,,,11 miles,"1,577 ft"
138,,2022-9-11 7:10 pmSep 11,kmb88422,,,16 miles,"1,676 ft"
139,,2022-9-11 6:17 pmSep 11,toadiesforcody,,,12 miles,"1,539 ft"
140,,2022-9-11 6:04 pmSep 11,seanpaulpizza,,,13 miles,"2,085 ft"
141,,2022-9-11 5:16 pmSep 11,RocketRayLCR,,,29 miles,"1,840 ft"
142,,2022-9-11 4:46 pmSep 11,shrednuts,,,6 miles,918 ft
143,,2022-9-11 4:32 pmSep 11 s,jongregory,,,9 miles,"1,185 ft"
144,,2022-9-11 3:36 pmSep 11,rsschuldt,,DH,4 miles,127 ft
145,,2022-9-10 11:30 pmSep 10,ChristopheriQubte,,,11 miles,"1,620 ft"
146,,2022-9-10 10:44 pmSep 10,illbmxer,,,6 miles,834 ft
147,,2022-9-10 10:30 pmSep 10,fango925,,,17 miles,"2,664 ft"
148,,2022-9-10 8:36 pmSep 10,Er0breich,,,8 miles,"1,362 ft"
149,,2022-9-10 6:52 pmSep 10,smitod,,,13 miles,"1,891 ft"
150,,2022-9-10 5:18 pmSep 10,XploringDave,,,20 miles,"2,812 ft"
151,,2022-9-10 4:12 pmSep 10 s,maxellingson,,,34 miles,"5,135 ft"
152,,2022-9-8 10:54 pmSep 8,Hellfish67,,,6 miles,975 ft
153,,2022-9-8 10:44 pmSep 8,HarrisonMeyer,,,10 miles,"1,387 ft"
154,,2022-9-8 10:26 pmSep 8,marcoaml78,,XC,17 miles,"1,176 ft"
155,,2022-9-8 10:24 pmSep 8,kenn0065,,,6 miles,934 ft
156,,2022-9-8 7:52 pmSep 8,minnesotashred,,,8 miles,"1,100 ft"
157,,2022-9-8 3:40 pmSep 8,Churchr,,,23 miles,"1,466 ft"
158,,2022-9-7 10:16 pmSep 7,HMTB763,,,9 miles,"1,497 ft"
159,,2022-9-7 9:30 pmSep 7,MTB0074,,,11 miles,"1,417 ft"
160,,2022-9-7 9:20 pmSep 7,minnesotashred,,,4 miles,553 ft
161,,2022-9-7 9:17 pmSep 7,liam-conzemius,,,8 miles,"1,240 ft"
162,,2022-9-7 3:30 pmSep 7,Churchr,,,29 miles,"2,041 ft"
163,,2022-9-6 11:28 pmSep 6,fango925,,,9 miles,"1,413 ft"
164,,2022-9-6 11:13 pmSep 6 s,LeisureSuitL,,,7 miles,"1,493 ft"
165,,2022-9-6 11:11 pmSep 6,svenjaminn,,,7 miles,914 ft
