trailid,title,aka,activitytype,difficulty,status,condition,region_title,rid,difficulty_system,trailtype,usage,direction,season,unsanctioned,hidden,rating,ridden,total_checkins,total_reports,total_photos,total_videos,faved,views,global_rank,created,land_manager,closed,wet_weather,distance,time,alt_change,alt_max,alt_climb,alt_descent,grade,dst_climb,dst_descent,dst_flat,alias,inventory_exclude,trail_association,sponsors,builders,maintainer","18427","Big Wheezy","","1","Blue","All Clear / Green","Ideal","Battle Creek","5538","0","Singletrack","Biking Primary","Downhill Primary","","0","0","4.5","544","3849","22","0","0","0","1345","6688","2014-10-23 6:19pm","","0","0","2,212","283","112","875","229","-116","5.08","1,344","505","363","https://www.trailforks.com/trails/big-wheezy/","0","0","","","",
"18420","Overgrown Road","","1","Access Trail or Doubletrack","All Clear / Green","Dry","Battle Creek","5538","0","Paved Path","Multi-use","Both Directions","","0","0","0","390","2832","13","0","0","0","840","0","2014-10-23 6:19pm","","0","0","2,441","132","36","766","45","-9","1.5","1,801","384","259","https://www.trailforks.com/trails/overgrown-road/","0","0","","","",
"18414","Paved Connector","","1","Access Trail or Doubletrack","Closed / Red","Unknown","Battle Creek","5538","0","Paved Path","Multi-use","Both Directions","","0","0","0","294","1019","4","0","0","0","816","0","2014-10-23 6:19pm","","0","0","4,357","391","115","842","126","-11","2.6","3,323","384","646","https://www.trailforks.com/trails/paved-connector/","0","0","","","",
"18426","Picnic Loop","","1","Blue","Minor Issue / Yellow","Dry","Battle Creek","5538","0","Singletrack","Biking Primary","Downhill Primary","","0","0","4","513","3249","22","1","0","0","1065","30538","2014-10-23 6:19pm","","0","0","1,780","199","8","864","54","-47","0.461","930","638","211","https://www.trailforks.com/trails/picnic-loop-18426/","0","0","","","",
"18423","Pine Climb","","1","Blue","All Clear / Green","Ideal","Battle Creek","5538","0","Singletrack","Biking Primary","Uphill Primary","","0","0","3","425","2244","18","0","0","0","723","74412","2014-10-23 6:19pm","","0","0","797","109","63","940","61","0","7.9","676","0","0","https://www.trailforks.com/trails/pine-climb/","0","0","","","",
"18412","Road to Luge","","1","Access Trail or Doubletrack","All Clear / Green","Ideal","Battle Creek","5538","0","Doubletrack","Multi-use","Both Directions","","0","0","0","568","5350","20","0","0","0","806","0","2014-10-23 6:19pm","","0","0","1,529","73","-15","873","0","-15","-1","138","896","341","https://www.trailforks.com/trails/road-to-luge/","0","0","","","",
"18422","Short Way Back","","1","Green","All Clear / Green","Wet","Battle Creek","5538","0","Doubletrack","Multi-use","Downhill Primary","","0","0","0","348","990","9","0","0","0","815","109770","2014-10-23 6:19pm","","0","0","1,578","153","-11","947","31","-42","0","392","591","595","https://www.trailforks.com/trails/short-way-back/","0","0","","","",
"153959","Shortcut","","1","Green","All Clear / Green","Ideal","Battle Creek","5538","0","Singletrack","Biking Primary","Both Directions","","0","0","0","384","1872","9","0","0","0","297","109269","2018-10-27 12:11pm","","0","0","326","27","20","756","20","0","6.134","254","0","72","https://www.trailforks.com/trails/shortcut-153959/","0","0","","","",
"18411","Singletrack to Road Crossing","","1","Blue","All Clear / Green","Dry","Battle Creek","5538","0","Singletrack","Biking Primary","Both Directions","","0","0","0","515","3090","33","0","0","0","954","107697","2014-10-23 6:19pm","","0","0","2,324","150","-88","964","19","-107","-3.797","410","1,468","447","https://www.trailforks.com/trails/singletrack-to-road-crossing/","0","0","","","",
"18410","Ski Connector","","1","Green","All Clear / Green","Ideal","Battle Creek","5538","0","Doubletrack","Multi-use","Downhill Primary","","0","0","0","309","945","7","0","0","0","762","110553","2014-10-23 6:18pm","","0","0","3,595","238","21","992","97","-75","0.596","1,041","1,015","1,538","https://www.trailforks.com/trails/ski-connector/","0","0","","","",
"153961","Staying High","","1","Blue","All Clear / Green","Ideal","Battle Creek","5538","0","Singletrack","Biking Primary","Both Directions","","0","0","0","454","3791","15","0","0","0","318","108629","2018-10-27 12:13pm","","0","0","429","51","-9","854","8","-16","-2.062","120","231","79","https://www.trailforks.com/trails/staying-high/","0","0","","","",
"153958","The Chute","","1","Black Diamond","All Clear / Green","Ideal","Battle Creek","5538","0","Singletrack","Biking Primary","Downhill Primary","","0","0","5","300","1070","5","4","0","0","502","7411","2018-10-27 12:08pm","","0","0","157","70","-30","770","0","-30","-18.819","0","157","0","https://www.trailforks.com/trails/the-chute-153958/","0","0","","","",
"323655","The Hump","","1","Blue","Minor Issue / Yellow","Dry","Battle Creek","5538","0","Singletrack","Multi-use","Uphill Only","","0","0","0","448","3182","20","2","0","0","168","109354","2020-09-07 5:45pm","","0","0","1,972","198","91","830","102","-8","4.6","1,329","315","328","https://www.trailforks.com/trails/the-hump-323655/","0","0","","","",
"18413","The Luge","","1","Black Diamond","Minor Issue / Yellow","Ideal","Battle Creek","5538","0","Singletrack","Biking Primary","Downhill Primary","","0","0","3.4","505","2643","20","0","0","0","1633","48281","2014-10-23 6:19pm","","0","0","1,440","95","-97","845","23","-120","-6.7","499","781","157","https://www.trailforks.com/trails/the-luge-18413/","0","0","","","",
"18419","To the Overlook","","1","Blue","All Clear / Green","Dry","Battle Creek","5538","0","Singletrack","Biking Primary","Both Directions","","0","0","3","402","1975","17","0","0","0","998","76632","2014-10-23 6:19pm","","0","0","3,665","352","103","860","121","-18","2.8","1,532","466","1,670","https://www.trailforks.com/trails/to-the-overlook/","0","0","","","",
"93534","Travis' Trail","","1","Blue","Minor Issue / Yellow","Dry","Battle Creek","5538","0","Singletrack","Biking Primary","Downhill Primary","","0","0","3.75","500","3373","30","2","1","0","991","39465","2017-06-17 1:58pm","","0","0","5,728","539","-63","886","128","-190","-1.1","1,729","3,058","945","https://www.trailforks.com/trails/travis--trail-93534/","0","0","","","",
"93470","Wall of Death","","1","Black Diamond","All Clear / Green","Variable","Battle Creek","5538","0","Singletrack","Biking Primary","Downhill Primary","","0","0","4.5","472","3276","25","1","1","0","1040","11560","2017-06-17 11:27am","","0","0","870","53","-97","863","8","-104","-11.124","151","616","73","https://www.trailforks.com/trails/wall-of-death-93470/","0","0","","","",
"18409","Warmup","","1","Blue","Minor Issue / Yellow","Variable","Battle Creek","5538","0","Singletrack","Biking Primary","Both Directions","","0","0","0","442","2091","26","0","0","0","1074","108694","2014-10-23 6:18pm","","0","0","2,096","186","13","942","40","-27","0.625","530","406","1,161","https://www.trailforks.com/trails/warmup/","0","0","","","",
